Date;Country;Region;Export;Import
03/2020;Bun-ga-ri;EU;4,608.07;4,678.98
04/2020;Bun-ga-ri;EU;6,064.36;3,270.49
05/2020;Bun-ga-ri;EU;4,164.48;4,183.50
06/2020;Bun-ga-ri;EU;5,451.25;4,902.69
07/2020;Bun-ga-ri;EU;5,593.20;5,467.05
08/2020;Bun-ga-ri;EU;4,049.07;5,240.31
09/2020;Bun-ga-ri;EU;3,233.09;3,288.12
10/2020;Bun-ga-ri;EU;5,543.41;4,238.56
11/2020;Bun-ga-ri;EU;5,450.07;5,926.07
12/2020;Bun-ga-ri;EU;5,843.89;5,731.86
01/2021;Bun-ga-ri;EU;6,166.92;6,239.10
02/2021;Bun-ga-ri;EU;4,880.72;9,680.81
03/2021;Bun-ga-ri;EU;11,192.95;6,305.07
04/2021;Bun-ga-ri;EU;10,074.83;5,529.41
05/2021;Bun-ga-ri;EU;9,724.03;5,239.06
06/2021;Bun-ga-ri;EU;12,891.67;5,546.21
07/2021;Bun-ga-ri;EU;8,992.33;3,688.51
08/2021;Bun-ga-ri;EU;9,351.45;9,999.22
09/2021;Bun-ga-ri;EU;6,420.61;44,542.21
10/2021;Bun-ga-ri;EU;7,311.64;24,914.31
11/2021;Bun-ga-ri;EU;13,230.45;5,796.39
12/2021;Bun-ga-ri;EU;7,430.96;12,131.70
01/2022;Bun-ga-ri;EU;11,577.85;4,492.75
02/2022;Bun-ga-ri;EU;9,193.08;7,254.64
03/2022;Bun-ga-ri;EU;12,250.46;7,927.68
04/2022;Bun-ga-ri;EU;12,141.80;4,633.38
05/2022;Bun-ga-ri;EU;10,581.95;6,118.48
06/2022;Bun-ga-ri;EU;11,591.38;3,753.56
07/2022;Bun-ga-ri;EU;10,112.44;4,124.35
08/2022;Bun-ga-ri;EU;10,576.58;4,620.17
09/2022;Bun-ga-ri;EU;20,411.05;3,602.10
10/2022;Bun-ga-ri;EU;11,955.25;4,072.16
11/2022;Bun-ga-ri;EU;7,458.64;5,178.02
12/2022;Bun-ga-ri;EU;13,197.03;6,773.83
01/2023;Bun-ga-ri;EU;5,717.46;1,858.39
02/2023;Bun-ga-ri;EU;9,492.33;3,641.78
03/2023;Bun-ga-ri;EU;10,622.89;4,639.23
04/2023;Bun-ga-ri;EU;30,651.41;2,859.07
05/2023;Bun-ga-ri;EU;10,243.83;5,738.85
06/2023;Bun-ga-ri;EU;9,958.53;5,680.78
07/2023;Bun-ga-ri;EU;9,078.44;3,436.86
08/2023;Bun-ga-ri;EU;10,748.34;19,441.92
09/2023;Bun-ga-ri;EU;14,631.35;6,310.89
10/2023;Bun-ga-ri;EU;10,198.08;3,715.54
11/2023;Bun-ga-ri;EU;11,941.16;4,893.04
12/2023;Bun-ga-ri;EU;7,199.47;8,719.39
01/2024;Bun-ga-ri;EU;18,917.22;3,306.06
02/2024;Bun-ga-ri;EU;9,930.44;3,345.84
03/2024;Bun-ga-ri;EU;16,398.81;6,781.57
